HS4,direction,mass,year
7311,export,6908710.0,2005
7311,export,10059355.0,2006
7311,export,11906124.0,2007
7311,export,13539412.0,2008
7311,export,9196779.0,2009
7311,export,8330740.0,2010
7311,export,11028285.0,2011
7311,export,13482438.0,2012
7311,export,13959123.0,2013
7311,export,10312564.0,2014
7311,export,6918415.0,2015
7311,export,7865558.0,2016
7311,export,7155256.0,2017
7311,import,16684258.0,1996
7311,import,17283127.0,1997
7311,import,15389919.0,1998
7311,import,15878474.0,1999
7311,import,20841514.0,2000
7311,import,14918829.0,2001
7311,import,15892157.0,2002
7311,import,28091037.0,2003
7311,import,20903145.0,2004
7311,import,18956622.0,2005
7311,import,22864609.0,2006
7311,import,25440316.0,2007
7311,import,24538016.0,2008
7311,import,16070238.0,2009
7311,import,17802847.0,2010
7311,import,19186988.0,2011
7311,import,21796134.0,2012
7311,import,40378856.0,2013
7311,import,41131358.0,2014
7311,import,164302936.0,2015
7311,import,95913629.0,2016
7311,import,43102532.0,2017
7312,export,66007047.0,1996
7312,export,66306773.0,1997
7312,export,59846550.0,1998
7312,export,54679792.0,1999
7312,export,49755992.0,2000
7312,export,48668703.0,2001
7312,export,46904077.0,2002
7312,export,41983833.0,2003
7312,export,43179167.0,2004
7312,export,41090267.0,2005
7312,export,43103549.0,2006
7312,export,47471606.0,2007
7312,export,43438845.0,2008
7312,export,42053920.0,2009
7312,export,41149453.0,2010
7312,export,40374685.0,2011
7312,export,43389310.0,2012
7312,export,40125523.0,2013
7312,export,43931565.0,2014
7312,export,41266420.0,2015
7312,export,33365012.0,2016
7312,export,30041485.0,2017
7312,import,65495510.0,1996
7312,import,64914517.0,1997
7312,import,67310914.0,1998
7312,import,55310658.0,1999
7312,import,48658202.0,2000
7312,import,52926049.0,2001
7312,import,55210980.0,2002
7312,import,60638813.0,2003
7312,import,64570210.0,2004
7312,import,79589428.0,2005
7312,import,80753324.0,2006
7312,import,79606711.0,2007
7312,import,76329664.0,2008
7312,import,57371679.0,2009
7312,import,57468710.0,2010
7312,import,57314511.0,2011
7312,import,67549596.0,2012
7312,import,60685406.0,2013
7312,import,61545995.0,2014
7312,import,52147393.0,2015
7312,import,57364862.0,2016
7312,import,53856622.0,2017
7313,export,4353980.0,1996
7313,export,4705232.0,1997
7313,export,3850000.0,1998
7313,export,5296600.0,1999
7313,export,4000473.0,2000
7313,export,5565926.0,2001
7313,export,3944260.0,2002
7313,export,4548020.0,2003
7313,export,6204541.0,2004
7313,export,5391228.0,2005
7313,export,6314995.0,2006
7313,export,4853590.0,2007
7313,export,5040894.0,2008
7313,export,4292811.0,2009
7313,export,4261024.0,2010
7313,export,3535743.0,2011
7313,export,2953395.0,2012
7313,export,3946679.0,2013
7313,export,4992333.0,2014
7313,export,3916570.0,2015
7313,export,3722767.0,2016
7313,export,3608040.0,2017
7313,import,4228282.0,1996
7313,import,3499883.0,1997
7313,import,3115872.0,1998
7313,import,3008430.0,1999
7313,import,3601116.0,2000
7313,import,4067186.0,2001
7313,import,3044862.0,2002
7313,import,3959300.0,2003
7313,import,3704562.0,2004
7313,import,3143200.0,2005
7313,import,2849162.0,2006
7313,import,4038510.0,2007
7313,import,4588996.0,2008
7313,import,2895886.0,2009
7313,import,3153472.0,2010
7313,import,4104447.0,2011
7313,import,2750082.0,2012
7313,import,4027684.0,2013
7313,import,2618594.0,2014
7313,import,1127184.0,2015
7313,import,1065826.0,2016
7313,import,1479971.0,2017
7314,export,31337726.0,1996
7314,export,38935608.0,1997
7314,export,48874827.0,1998
7314,export,45368058.0,1999
7314,export,44607012.0,2000
7314,export,56661510.0,2001
7314,export,56911297.0,2002
7314,export,51894491.0,2003
7314,export,69814763.0,2004
7314,export,53476220.0,2005
7314,export,53860033.0,2006
7314,export,49039971.0,2007
7314,export,43692971.0,2008
7314,export,37044810.0,2009
7314,export,40029329.0,2010
7314,export,36660640.0,2011
7314,export,31587358.0,2012
7314,export,40169892.0,2013
7314,export,45761352.0,2014
7314,export,42883598.0,2015
7314,export,46170028.0,2016
7314,export,47846655.0,2017
7314,import,33292005.0,1996
7314,import,47862165.0,1997
7314,import,41385490.0,1998
7314,import,39199590.0,1999
7314,import,40573024.0,2000
7314,import,44003271.0,2001
7314,import,64201968.0,2002
7314,import,77213156.0,2003
7314,import,130339578.0,2004
7314,import,95865218.0,2005
7314,import,96441551.0,2006
7314,import,136505170.0,2007
7314,import,100392693.0,2008
7314,import,79799669.0,2009
7314,import,89665665.0,2010
7314,import,96497087.0,2011
7314,import,94799298.0,2012
7314,import,96949453.0,2013
7314,import,112218194.0,2014
7314,import,110553251.0,2015
7314,import,107687756.0,2016
7314,import,107936787.0,2017
7315,export,18367413.0,1996
7315,export,17028841.0,1997
7315,export,15073728.0,1998
7315,export,14045046.0,1999
7315,export,16179136.0,2000
7315,export,16543944.0,2001
7315,export,17278086.0,2002
7315,export,19544202.0,2003
7315,export,19639015.0,2004
7315,export,21415572.0,2005
7315,export,20196641.0,2006
7315,export,19981194.0,2007
7315,export,18905695.0,2008
7315,export,12768815.0,2009
7315,export,13692492.0,2010
7315,export,13776574.0,2011
7315,export,13426781.0,2012
7315,export,12545611.0,2013
7315,export,10464786.0,2014
7315,export,12570091.0,2015
7315,export,8020428.0,2016
7315,export,9985569.0,2017
7315,import,19019839.0,1996
7315,import,19845826.0,1997
7315,import,19995495.0,1998
7315,import,18534231.0,1999
7315,import,20844427.0,2000
7315,import,23555495.0,2001
7315,import,19533841.0,2002
7315,import,19360849.0,2003
7315,import,19966468.0,2004
7315,import,23239837.0,2005
7315,import,31269166.0,2006
7315,import,32164730.0,2007
7315,import,22760600.0,2008
7315,import,20348985.0,2009
7315,import,21666856.0,2010
7315,import,26526512.0,2011
7315,import,22639170.0,2012
7315,import,28023543.0,2013
7315,import,30293610.0,2014
7315,import,30998715.0,2015
7315,import,30495362.0,2016
7315,import,25214805.0,2017
7316,export,3019012.0,1996
7316,export,2411475.0,1997
7316,export,4145316.0,1998
7316,export,2399563.0,1999
7316,export,1772639.0,2000
7316,export,1880306.0,2001
7316,export,1740687.0,2002
7316,export,2139709.0,2003
7316,export,2608960.0,2004
7316,export,5362217.0,2005
7316,export,6302225.0,2006
7316,export,5258422.0,2007
7316,export,5428821.0,2008
7316,export,2218559.0,2009
7316,export,2863312.0,2010
7316,export,1520310.0,2011
7316,export,1753710.0,2012
7316,export,1547374.0,2013
7316,export,1421162.0,2014
7316,export,1472682.0,2015
7316,export,1130325.0,2016
7316,export,1257326.0,2017
7316,import,1538738.0,1996
7316,import,3554788.0,1997
7316,import,2340241.0,1998
7316,import,2114073.0,1999
7316,import,1317459.0,2000
7316,import,1551423.0,2001
7316,import,3066806.0,2002
7316,import,1537188.0,2003
7316,import,1545666.0,2004
7316,import,1664133.0,2005
7316,import,3059760.0,2006
7316,import,4451429.0,2007
7316,import,2999081.0,2008
7316,import,2362892.0,2009
7316,import,2353405.0,2010
7316,import,1239149.0,2011
7316,import,2567064.0,2012
7316,import,1737948.0,2013
7316,import,2189076.0,2014
7316,import,2189386.0,2015
7316,import,2156588.0,2016
7316,import,1846587.0,2017
7317,export,10996778.0,1996
7317,export,12078618.0,1997
7317,export,23143291.0,1998
7317,export,14696403.0,1999
7317,export,14168345.0,2000
7317,export,18114350.0,2001
7317,export,14199574.0,2002
7317,export,14749171.0,2003
7317,export,12861109.0,2004
7317,export,12726931.0,2005
7317,export,15501193.0,2006
7317,export,10793841.0,2007
7317,export,8224497.0,2008
7317,export,3497423.0,2009
7317,export,3318786.0,2010
7317,export,2933452.0,2011
7317,export,3623156.0,2012
7317,export,2883684.0,2013
7317,export,2897125.0,2014
7317,export,2871804.0,2015
7317,export,3023156.0,2016
7317,export,5407004.0,2017
7317,import,31364978.0,1996
7317,import,33464470.0,1997
7317,import,42355998.0,1998
